"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"17-Feb-2021 7:32:12 pm UTC","15031785422","Refund
","406-2071657-3478764","MU-TVIO-HES1","Bajaj PCX 33, 3 LTR Inner Lid Pressure Cooker (Silver, ISI Certified)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KALYANPUR","BIHAR","845432","-917.86","-35.71","35.71","-110.14","0","0","9.18","84.91","0","35.40","0","-898.51"
"17-Feb-2021 7:37:29 pm UTC","15031817372","Refund
","407-5284696-3881902","5R-0B6W-DDKF","Bajaj Classic Mixer Grinder, 750W, 3 Jars (White and Maroon)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","INDORE","MADHYA PRADESH","452001","-2,664.40","0","0","-479.60","13.32","13.32","0","204.05","0","53.10","0","-2,860.21"
"17-Feb-2021 7:39:12 pm UTC","15031817372","Order
","408-6673872-4797938","0K-OYMU-W4KX","OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) Without Offer","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MAUNATH BHANJAN","UTTAR PRADESH","275101","19,655.93","33.90","-33.90","3,538.07","0","0","-196.56","-1,368.45","0","-35.40","0","21,593.59"
"17-Feb-2021 7:46:48 pm UTC","15031785422","Order
","402-1554546-8290710","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BALAGHAT","MADHYA PRADESH","481556","1,329.66","0","0","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"17-Feb-2021 7:47:41 pm UTC","15031785422","Order
","408-5205726-2147552","QO-OETB-YAIF","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 28 cm, 3.6 Liters, Induction Base, Grey., 28 cm, 3.6 ltr","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BARASAT","WEST BENGAL","700124","0","0","0","0","0","0","0","0","0","0","0","0"
"17-Feb-2021 7:49:50 pm UTC","15031817372","Order
","403-7361042-6815563","ubnh75gfam","Prestige Popular Plus Induction Base Pressure Cooker, 2 Litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CUTTACK","ODISHA","753004","1,053.57","0","0","126.43","0","0","-10.54","-97.47","-130.98","-35.40","0","905.61"
"17-Feb-2021 7:54:31 pm UTC","15031785422","Refund
","405-7871092-3265125","ML-2UEP-WIBZ","SYSKA HB100 Ultraclip Hair Clipper and Trimmer support Super Fast Charging, Runtime-90Mins, 20 Length Settings with 4 Stubble Guided Comb (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SANCHORE","RAJASTHAN","343041","-1,792.37","0","0","-322.63","0","0","17.92","129.78","0","35.40","0","-1,931.90"
"17-Feb-2021 7:54:32 pm UTC","15031817372","Order
","408-7457149-7973122","TN-Y34P-OK99","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400076","4,897.46","0","0","881.54","0","0","-48.97","-443.26","-258.42","-35.40","0","4,992.95"
"17-Feb-2021 7:54:50 pm UTC","15031817372","Order
","402-8075833-4583557","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KALYAN","MAHARASHTRA","421201","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"17-Feb-2021 8:35:37 pm UTC","15031785422","Order
","406-9507399-7385907","Z3-YKJY-DYQ3","Bajaj Twister Deluxe 750-Watt Mixer Grinder with 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","JAMSHEDPUR","JHARKHAND","832110","3,320.34","33.90","-33.90","597.66","0","0","-33.20","-254.28","-201.78","-35.40","0","3,393.34"
"17-Feb-2021 8:36:30 pm UTC","15031785422","Order
","406-3597941-8739543","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Hyderabad","TELANGANA","500019","1,253.39","33.90","-33.90","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
"17-Feb-2021 8:47:40 pm UTC","15031817372","Order
","404-2827122-6905931","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Mumbai","Maharashtra","400081","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"17-Feb-2021 8:48:49 pm UTC","15031817372","Order
","171-2171492-0888343","6X-FHML-S0RF","Wahl Professional 08466-424 Super Taper Professional Corded Clipper","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","COIMBATORE","TAMIL NADU","641010","3,028.81","0","0","545.19","0","0","-30.29","-400.65","-109.74","-35.40","0","2,997.92"
"17-Feb-2021 8:54:05 pm UTC","15031817372","Order
","403-3387967-2954750","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KURNOOL","ANDHRA PRADESH","518006","2,872.03","0","0","516.97","0","0","-28.72","-219.95","-152.22","-35.40","0","2,952.71"
"17-Feb-2021 8:54:11 pm UTC","15031817372","Order
","402-3157941-8325916","TN-Y34P-OK99","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","400610","4,897.46","0","0","881.54","0","0","-48.97","-443.26","-258.42","-35.40","0","4,992.95"
"17-Feb-2021 9:01:09 pm UTC","15031817372","Order
","408-1488300-8133906","60004000","Wonderchef Milk Boiler 2 Litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","DENKANIKOTTAI","TAMIL NADU","635107","1,203.57","0","0","144.43","0","0","-12.04","-182.92","-109.74","-35.40","0","1,007.90"
"17-Feb-2021 9:01:29 pm UTC","15031785422","Adjustment
","403-0086629-6972352","VG-06N3-LB87","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","228.58","228.58"
"17-Feb-2021 9:29:37 pm UTC","15031785422","Adjustment
","402-2695930-8049937","ED-XH8V-N4Q0","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","985.35","985.35"
"17-Feb-2021 9:38:21 pm UTC","15031817372","Order
","402-1579456-7554737","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THRISSUR","KERALA","680005","3,117.80","33.90","-33.90","561.20","0","0","-31.18","-238.77","-201.78","-35.40","0","3,171.87"
"17-Feb-2021 9:41:51 pm UTC","15031817372","Order
","406-4117375-0218714","M4-HLPZ-H2PT","Wahl Professional Super Taper Hair Clipper","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500037","3,577.12","33.90","-33.90","643.88","0","0","-35.77","-224.15","-88.50","-35.40","0","3,837.18"
"17-Feb-2021 10:25:32 pm UTC","15031817372","Refund
","402-9204020-8144316","IN-YUZU-XYLR","Bergner Argent Elements Triply Stainless Steel UnPressure Cooker Pan with Outer Lid, 3.5 litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KARNAL","HARYANA","132001","-2,962.50","-35.71","35.71","-355.50","0","0","29.63","274.07","0","35.40","0","-2,978.90"
"17-Feb-2021 11:12:52 pm UTC","15031785422","Tax Withheld","","","TDS - Section 194-O - Tue Feb 16 00:00:00 UTC 2021","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-169.64","-169.64"
"17-Feb-2021 11:16:54 pm UTC","15031817372","Tax Withheld","","","TDS - Section 194-O - Tue Feb 16 00:00:00 UTC 2021","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","-663.63","-663.63"
"17-Feb-2021 11:19:13 pm UTC","15031785422","Tax Withheld","","","TDS - Section 194-O - Wed Feb 17 00:00:00 UTC 2021","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","-1,307.15","-1,307.15"
"17-Feb-2021 11:20:35 pm UTC","15031817372","Tax Withheld","","","TDS - Section 194-O - Wed Feb 17 00:00:00 UTC 2021","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","-3,463.02","-3,463.02"
"17-Feb-2021 11:25:34 pm UTC","15031785422","Refund
","407-1825955-8531553","DH-4V27-63KA","Wahl 09854-624 Lithium Ion All in One Grooming Kit Trimmer (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Mumbai","MAHARASHTRA","400050","-3,062.72","0","0","-551.28","15.31","15.31","0","324.10","0","35.40","0","-3,223.88"
"17-Feb-2021 11:50:23 pm UTC","15031817372","Order
","404-4948415-3249103","Eurekaforbes_dx_1200w_vacuum","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","JAIPUR","RAJASTHAN","302021","3,116.95","0","0","561.05","0","0","-31.17","-238.70","-201.78","-35.40","0","3,170.95"
"18-Feb-2021 12:00:21 am UTC","15031785422","Refund
","405-0546469-3332333","0H-4D7D-C3FJ","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KOLKATA","WEST BENGAL","700006","-4,574.58","-33.90","33.90","-823.42","0","0","45.75","414.03","0","35.40","0","-4,902.82"
"18-Feb-2021 2:02:05 am UTC","15031785422","Refund
","402-0329198-4211545","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HYDERABAD","TELANGANA","500090","-3,020.34","0","0","-543.66","0","0","30.20","609.80","0","35.40","0","-2,888.60"
"18-Feb-2021 2:21:06 am UTC","15031817372","Order
","402-3995911-2030732","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THOOTHUKKUDI","TAMIL NADU","628002","1,253.39","0","0","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
"18-Feb-2021 2:28:31 am UTC","15031785422","Refund
","171-4339280-9248369","M4-HLPZ-H2PT","Wahl Professional Super Taper Hair Clipper","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MANDI","HIMACHAL PRADESH","175001","-3,577.12","-33.90","33.90","-643.88","0","0","35.77","224.14","0","35.40","0","-3,925.69"
"18-Feb-2021 3:03:50 am UTC","15031817372","Order
","405-2517471-4385164","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560035","1,329.66","33.90","-33.90","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"18-Feb-2021 3:08:00 am UTC","15031817372","Order
","405-4450630-2723533","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOLKATA","WEST BENGAL","700010","1,329.66","33.90","-33.90","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"18-Feb-2021 3:08:55 am UTC","15031817372","Order
","171-1259973-4737947","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHABUA","ASSAM","786184","1,329.66","33.90","-33.90","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"18-Feb-2021 3:15:08 am UTC","15031785422","Refund
","407-7638003-8505901","Z6-5TZ8-SVIM","(Renewed) Micromax X750 Phone (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Salem","TAMIL NADU","636001","-761.86","-33.90","33.90","-137.14","0","0","7.62","53.04","0","29.50","0","-808.84"
"18-Feb-2021 3:15:17 am UTC","15031785422","Order
","171-1205408-3997168","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","JAMSHEDPUR","JHARKHAND","831006","1,329.66","0","0","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"18-Feb-2021 3:25:08 am UTC","15031785422","Refund
","407-9204557-7080307","CJ-898G-RY8N","Bajaj Ivora Crimson Red 800 Watts, 3 Jar Mixer Grinder with Anti-Germ & Anti-dust Coating","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SONAMURA","TRIPURA","799131","-3,467.80","-33.90","33.90","-624.20","0","0","34.68","265.57","0","35.40","0","-3,756.35"
"18-Feb-2021 3:42:33 am UTC","15031785422","Adjustment
","404-0398439-9629163","1N-V2NN-FX2P","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","541.47","541.47"
"18-Feb-2021 3:45:00 am UTC","15031785422","Adjustment
","404-1325831-2946739","9H-UYHA-JFCN","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","380.37","380.37"
"18-Feb-2021 3:48:37 am UTC","15031785422","Order
","405-5203307-0813907","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KALAMASSERY","KERALA","682024","1,253.39","0","0","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
"18-Feb-2021 4:03:17 am UTC","15031785422","Order
","403-5920891-4855545","65-CEA5-X2ZO","Wahl 05439-1024 Super Dry Turbo- 2000Watts (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110008","2,883.05","0","0","518.95","0","0","-28.83","-381.36","-109.74","-35.40","0","2,846.67"
"18-Feb-2021 4:11:52 am UTC","15031817372","Order
","171-4397033-2946759","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110075","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"18-Feb-2021 4:22:29 am UTC","15031785422","Order
","406-9825369-8747504","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BENGALURU","KARNATAKA","560067","3,117.80","0","0","561.20","-15.59","-15.59","0","-238.77","-201.78","-35.40","0","3,171.87"
"18-Feb-2021 4:33:38 am UTC","15031817372","Order
","408-6360873-2185903","UB-LKKO-TGRE","Wonderchef - 63151691 Granite Die-Cast Aluminium Induction Base Casserole Set, 6-Pieces, Grey","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110021","3,416.07","0","0","409.93","0","0","-34.16","-496.61","-173.46","-35.40","0","3,086.37"
"18-Feb-2021 4:38:40 am UTC","15031817372","Order
","406-5163879-0560300","OB-BE4U-V44Q","Prestige TATTVA Copper Bottle TCB 01-950 ml","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KHARGONE","MADHYA PRADESH","451001","718.74","0","0","86.26","-3.59","-3.59","0","-61.75","-88.50","-17.70","0","629.87"
"18-Feb-2021 4:44:12 am UTC","15031817372","Order
","408-8921581-8931510","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400008","2,872.03","0","0","516.97","0","0","-28.72","-219.95","-152.22","-35.40","0","2,952.71"
"18-Feb-2021 4:52:51 am UTC","15031817372","Order
","402-9025827-6717121","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SERAMPORE","WEST BENGAL","712203","1,329.66","33.90","-33.90","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"18-Feb-2021 4:53:01 am UTC","15031817372","Order
","406-2671091-2754722","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOHIMA","NAGALAND","797001","1,329.66","33.90","-33.90","239.34","0","0","-13.30","-101.83","-187.62","-35.40","0","1,230.85"
"18-Feb-2021 5:00:15 am UTC","15031785422","Order
","404-4226501-6579506","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KOLHAPUR","MAHARASHTRA","416003","1,253.38","0","0","225.62","-6.27","-6.27","0","-95.99","-130.98","-35.40","0","1,204.09"
"18-Feb-2021 5:01:34 am UTC","15031785422","Order
","407-9183322-1578768","S4-6MCY-8GU3","Syska HT4000K AquaTrim Cord & Cordless Rechargeable Beard Trimmer for Men - Multi-Purpose Trimmer with 60 Minutes Runtime and 9 Length Setting","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","VADODARA","GUJARAT","390022","1,503.39","33.90","-33.90","270.61","0","0","-15.03","-198.87","-109.74","-35.40","0","1,414.96"
"18-Feb-2021 5:26:24 am UTC","15031785422","Refund
","171-9370988-3736356","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HYDERABAD","TELANGANA","500062","-1,825.42","-33.90","33.90","-328.58","0","0","18.25","305.01","0","53.10","0","-1,777.64"
"18-Feb-2021 5:30:02 am UTC","15031817372","Order
","403-4708662-4853122","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Dist. Palghar","MAHARASHTRA","401201","1,828.58","35.72","-35.72","219.42","-9.14","-9.14","0","-157.08","-173.46","-35.40","0","1,663.78"
"18-Feb-2021 5:36:21 am UTC","15031817372","Order
","405-9884989-5456356","TV-W17F-8FQV","Maharaja Whiteline Viva 1-Litre Kettle (White/Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","DANDELI","KARNATAKA","581325","724.58","0","0","130.42","0","0","-7.25","-55.50","-109.74","-17.70","0","664.81"
"18-Feb-2021 5:38:03 am UTC","15031785422","Order
","171-1500343-1977110","FY-0ADK-TW75","BERGNER Alpine Forged Aluminium Non-Stick Flat Tawa, 26 cm, Induction Base, Grey.","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MIRYALAGUDA","TELANGANA","508207","960.71","35.71","-35.71","115.29","0","0","-9.61","-146.02","-109.74","-35.40","0","775.23"
"18-Feb-2021 5:44:27 am UTC","15031785422","Refund
","406-5915094-1004301","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Madhopur","PUNJAB","145024","-455.93","-33.90","33.90","-82.07","0","0","4.56","34.92","0","17.70","0","-480.82"
"18-Feb-2021 5:46:04 am UTC","15031817372","Order
","405-9738456-4602706","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PIMPRI CHINCHWAD","MAHARASHTRA","411018","825.42","0","0","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
